student_id,age,gender,study_hours_per_day,part_time_job,attendance_percentage,sleep_hours,mental_health_rating,extracurricular_participation,previous_gpa,stress_level,dropout_risk,social_activity,screen_time,parental_support_level,motivation_level,exam_anxiety_score,exam_score,access_to_resources,health_status,extra_tuition
100000,26,1,7.65,1,70.3,6.2,6.0,1,4.0,5.8,0,0,10.9,9,7,8,100,,0,1
100001,28,1,5.7,0,88.4,7.2,6.8,0,4.0,5.8,0,5,8.3,7,2,10,99,,1,0
100002,17,1,2.4,0,82.1,9.2,5.7,1,3.79,8.0,0,5,8.0,3,9,6,98,,1,0
100003,27,2,3.4,1,79.3,4.2,8.5,1,4.0,4.6,0,3,11.7,5,3,10,100,,0,0
100004,25,0,4.7,1,62.9,6.5,9.2,0,4.0,5.7,0,2,9.4,9,1,10,98,,3,1
100005,17,0,4.2,0,49.2,9.2,9.2,1,4.0,1.5,0,2,8.9,1,10,5,94,,1,0
100006,19,1,4.1,1,97.9,8.5,5.8,0,4.0,2.5,0,3,9.2,5,7,8,97,,1,1
100007,17,1,4.1,0,44.3,7.4,4.8,1,3.3,5.3,0,3,10.0,9,3,10,84,,0,0
100008,28,0,0.6,1,64.2,7.6,3.5,0,2.61,4.0,0,3,4.8,4,4,10,70,,3,1
100009,19,1,5.2,1,40.1,7.2,5.9,1,3.78,3.3,0,1,8.0,7,9,6,100,,3,0
100010,16,2,0.0,0,44.1,6.9,7.8,1,4.0,3.7,0,3,3.9,2,10,5,100,,2,0
100011,26,2,3.9,0,40.6,8.1,4.0,1,4.0,2.0,0,0,10.8,2,9,6,100,,2,1
100012,19,0,4.7,0,93.4,7.4,5.6,0,4.0,3.8,0,2,12.1,5,10,5,96,,2,0
100013,24,0,7.4,1,73.7,5.9,8.1,0,3.31,5.9,0,2,13.1,1,6,9,83,,2,1
100014,21,1,5.5,1,98.6,8.0,7.3,1,3.21,7.5,0,5,11.1,3,6,9,77,,1,0
100015,17,0,3.53,1,98.0,8.0,10.0,1,3.14,4.7,0,2,5.1,9,6,9,87,,2,1
100016,16,1,5.0,0,40.1,9.7,9.9,0,4.0,5.9,0,0,10.4,4,6,9,100,,2,1
100017,27,0,3.7,0,76.9,8.8,5.8,0,3.6,4.9,0,3,11.0,5,5,10,93,,2,1
100018,26,1,2.6,1,53.5,9.1,9.6,1,3.77,6.2,0,5,7.4,4,8,7,88,,2,0
100019,25,1,3.9,0,53.1,5.4,7.9,0,3.7,2.4,0,3,11.0,1,9,6,92,,3,1
100020,26,2,3.9,0,77.6,6.4,8.1,0,2.65,5.0,0,1,7.5,5,4,10,60,,2,1
100021,22,2,2.0,1,91.4,5.2,6.4,0,3.33,4.9,0,5,6.5,1,6,9,82,,2,1
100022,24,2,5.8,1,95.2,7.8,7.3,0,4.0,6.8,0,1,11.1,7,10,5,100,,3,1
100023,23,1,3.28,0,68.2,6.5,9.3,0,4.0,6.1,0,1,10.9,4,2,10,100,,1,0
100024,16,2,6.1,1,86.7,5.2,1.8,0,3.27,9.5,1,5,10.1,10,1,10,80,,1,1
100025,19,1,4.4,1,40.8,7.7,7.4,0,3.76,6.6,0,5,9.0,7,6,9,89,,2,1
100026,24,2,6.2,0,74.2,4.0,10.0,0,4.0,3.8,0,2,10.6,8,6,9,92,,2,1
100027,20,2,3.6,1,66.9,7.8,8.7,1,3.75,7.1,0,4,11.5,7,4,10,88,,1,1
100028,21,0,4.0,0,51.5,7.7,4.7,0,3.68,5.3,0,2,6.6,10,9,6,95,,2,1
100029,18,0,3.84,0,68.2,5.8,4.5,1,4.0,3.9,0,4,8.1,5,8,7,100,,3,0
100030,26,2,7.61,1,94.5,6.8,5.1,0,4.0,7.8,0,1,13.6,5,10,5,100,,2,0
100031,26,1,4.1,1,57.3,6.8,5.2,1,3.73,4.3,0,4,9.4,4,5,10,93,,2,0
100032,19,2,4.7,1,81.3,7.1,6.6,1,4.0,4.3,0,5,13.4,9,8,7,94,,1,0
100033,21,2,5.1,1,95.0,5.3,5.4,1,3.28,6.9,0,0,10.6,8,2,10,76,,3,0
100034,18,0,5.3,0,79.5,7.5,6.7,0,4.0,3.9,0,1,10.7,4,9,6,100,,2,0
100035,20,2,6.7,0,45.6,6.3,7.8,0,3.59,5.1,0,3,9.6,2,3,10,89,,2,0
100036,23,1,3.4,0,57.0,6.4,8.8,1,3.08,5.9,0,4,10.2,8,3,10,86,,2,1
100037,22,0,7.2,1,69.7,7.9,4.5,0,4.0,3.3,0,3,14.7,6,2,10,100,,1,1
100038,16,2,2.4,1,97.2,9.4,9.8,1,4.0,2.4,0,3,10.7,1,10,5,100,,0,1
100039,17,2,7.4,0,74.0,7.4,3.8,1,4.0,7.9,0,4,10.7,2,10,5,100,,1,0
